ASSERTION	AAECAAMGAAAAAAAAAFRAAAAAAAAAWUAB
RUN	serveur.controller.LoadTest	loadtest	1558261487107	 	3.1.2
USER	TryConnect	1	START	1558261488774	1558261488774
USER	TryConnect	2	START	1558261488814	1558261488814
USER	TryConnect	3	START	1558261488860	1558261488860
REQUEST	2		TryConnect	1558261488829	1558261488859	OK	 
REQUEST	1		TryConnect	1558261488829	1558261488853	OK	 
REQUEST	3		TryConnect	1558261488861	1558261488894	OK	 
USER	TryConnect	3	END	1558261488860	1558261488895
USER	TryConnect	1	END	1558261488774	1558261488896
USER	TryConnect	2	END	1558261488814	1558261488896
USER	TryConnect	4	START	1558261488918	1558261488918
REQUEST	4		TryConnect	1558261488919	1558261488926	OK	 
USER	TryConnect	4	END	1558261488918	1558261488927
USER	TryConnect	5	START	1558261488965	1558261488965
REQUEST	5		TryConnect	1558261488965	1558261488973	OK	 
USER	TryConnect	5	END	1558261488965	1558261488974
USER	TryConnect	6	START	1558261489059	1558261489059
REQUEST	6		TryConnect	1558261489059	1558261489067	OK	 
USER	TryConnect	6	END	1558261489059	1558261489068
USER	TryConnect	7	START	1558261489105	1558261489105
REQUEST	7		TryConnect	1558261489106	1558261489114	OK	 
USER	TryConnect	7	END	1558261489105	1558261489114
USER	TryConnect	8	START	1558261489152	1558261489152
REQUEST	8		TryConnect	1558261489153	1558261489161	OK	 
USER	TryConnect	8	END	1558261489152	1558261489161
USER	TryConnect	9	START	1558261489199	1558261489199
REQUEST	9		TryConnect	1558261489200	1558261489207	OK	 
USER	TryConnect	9	END	1558261489199	1558261489208
USER	TryConnect	10	START	1558261489249	1558261489249
REQUEST	10		TryConnect	1558261489250	1558261489256	OK	 
USER	TryConnect	10	END	1558261489249	1558261489257
USER	TryConnect	11	START	1558261489309	1558261489309
REQUEST	11		TryConnect	1558261489310	1558261489324	OK	 
USER	TryConnect	11	END	1558261489309	1558261489326
USER	TryConnect	12	START	1558261489356	1558261489356
REQUEST	12		TryConnect	1558261489357	1558261489367	OK	 
USER	TryConnect	12	END	1558261489356	1558261489368
USER	TryConnect	13	START	1558261489403	1558261489403
REQUEST	13		TryConnect	1558261489403	1558261489412	OK	 
USER	TryConnect	13	END	1558261489403	1558261489413
USER	TryConnect	14	START	1558261489449	1558261489449
REQUEST	14		TryConnect	1558261489450	1558261489460	OK	 
USER	TryConnect	14	END	1558261489449	1558261489462
USER	TryConnect	15	START	1558261489499	1558261489499
REQUEST	15		TryConnect	1558261489500	1558261489510	OK	 
USER	TryConnect	15	END	1558261489499	1558261489511
USER	TryConnect	16	START	1558261489559	1558261489559
REQUEST	16		TryConnect	1558261489559	1558261489565	OK	 
USER	TryConnect	16	END	1558261489559	1558261489566
USER	TryConnect	17	START	1558261489606	1558261489606
REQUEST	17		TryConnect	1558261489607	1558261489618	OK	 
USER	TryConnect	17	END	1558261489606	1558261489619
USER	TryConnect	18	START	1558261489653	1558261489653
REQUEST	18		TryConnect	1558261489654	1558261489664	OK	 
